Loaded configuration from mp_host_headless.cfg
HEADLESS MODE: game running without graphics
HEADLESS: game loop starting (tick_rate=500ms)
TICK=00000 | P0:(10,05) s=0 l=2
TICK=00001 | P0:(10,06) s=0 l=2
TICK=00002 | P0:(10,07) s=0 l=2
TICK=00003 | P0:(10,08) s=0 l=2
TICK=00004 | P0:(10,09) s=0 l=2
TICK=00005 | P0:(10,10) s=0 l=2
TICK=00006 | P0:(10,11) s=0 l=2
TICK=00007 | P0:(10,12) s=0 l=2
TICK=00008 | P0:(10,13) s=0 l=2
TICK=00009 | P0:(10,14) s=0 l=2
TICK=00010 | P0:(10,15) s=0 l=2
TICK=00011 | P0:(10,16) s=0 l=2
TICK=00012 | P0:(10,17) s=0 l=2
TICK=00013 | P0:(10,05) s=0 l=2
